Manufacturer;Supplier;SKU;NAME;PRICE;PURCHASE;TAGS;META TITLE;META KEYWORDS;VAT;URL REWRITE
Armytrix;Armytrix;T12-2B;458 ITALIA / SPIDER ARMYTRIX TITANIUM TWIN TITANIUM BLUE TIPS ;1250;625;Armytrix,T12-2B,EXHAUST;458 ITALIA / SPIDER ARMYTRIX TITANIUM TWIN TITANIUM BLUE TIPS ;Armytrix,T12-2B,EXHAUST;7;ArmytrixT12-2B
Armytrix;Armytrix;T12-2M;458 ITALIA / SPIDER ARMYTRIX TITANIUM TWIN MATTE BLACK TIPS ;1400;700;Armytrix,T12-2M,EXHAUST;458 ITALIA / SPIDER ARMYTRIX TITANIUM TWIN MATTE BLACK TIPS ;Armytrix,T12-2M,EXHAUST;7;ArmytrixT12-2M
Armytrix;Armytrix;T12-3B;458 ITALIA / SPIDER ARMYTRIX TITANIUM TRIPLE TITANIUM BLUE TIPS;1650;825;Armytrix,T12-3B,EXHAUST;458 ITALIA / SPIDER ARMYTRIX TITANIUM TRIPLE TITANIUM BLUE TIPS;Armytrix,T12-3B,EXHAUST;7;ArmytrixT12-3B
Armytrix;Armytrix;T12-3M;458 ITALIA / SPIDER ARMYTRIX TITANIUM TRIPE MATTE BLACK TIPS;1950;975;Armytrix,T12-3M,EXHAUST;458 ITALIA / SPIDER ARMYTRIX TITANIUM TRIPE MATTE BLACK TIPS;Armytrix,T12-3M,EXHAUST;7;ArmytrixT12-3M
Armytrix;Armytrix;FF458-DDC;458 ITALIA / SPIDER ARMYTRIX CERAMIC COATED HIGH-FLOW PERFORMANCE DE-CATTED PIPE;1880;940;Armytrix,FF458-DDC,EXHAUST;458 ITALIA / SPIDER ARMYTRIX CERAMIC COATED HIGH-FLOW PERFORMANCE DE-CATTED PIPE;Armytrix,FF458-DDC,EXHAUST;7;ArmytrixFF458-DDC
Armytrix;Armytrix;FF458-CDC;458 ITALIA / SPIDER ARMYTRIX CERAMIC COATED SPORT VERSION HIGH-FLOW CAT-PIPE W/ 200 CPSI CAT;2880;1440;Armytrix,FF458-CDC,EXHAUST;458 ITALIA / SPIDER ARMYTRIX CERAMIC COATED SPORT VERSION HIGH-FLOW CAT-PIPE W/ 200 CPSI CAT;Armytrix,FF458-CDC,EXHAUST;7;ArmytrixFF458-CDC
Armytrix;Armytrix;FF488-C;488 PISTA / PISTA SPIDER ARMYTRIX TITANIUM EXHAUST SYSTEM W/NO TIPS;7380;3690;Armytrix,FF488-C,EXHAUST;488 PISTA / PISTA SPIDER ARMYTRIX TITANIUM EXHAUST SYSTEM W/NO TIPS;Armytrix,FF488-C,EXHAUST;7;ArmytrixFF488-C
Armytrix;Armytrix;FS488-DDC;488 GTB / SPIDER ARMYTRIX CERAMIC COATED HIGH-FLOW PERFORMANCE DE-CATTED DOWN-PIPE;2580;1290;Armytrix,FS488-DDC,EXHAUST;488 GTB / SPIDER ARMYTRIX CERAMIC COATED HIGH-FLOW PERFORMANCE DE-CATTED DOWN-PIPE;Armytrix,FS488-DDC,EXHAUST;7;ArmytrixFS488-DDC
Armytrix;Armytrix;DT22B;488 GTB / SPIDER ARMYTRIX TITANIUM TWIN TITANIUM BLUE TIPS ;780;390;Armytrix,DT22B,EXHAUST;488 GTB / SPIDER ARMYTRIX TITANIUM TWIN TITANIUM BLUE TIPS ;Armytrix,DT22B,EXHAUST;7;ArmytrixDT22B
Armytrix;Armytrix;DT22M;488 GTB / SPIDER ARMYTRIX TITANIUM TWIN MATTE BLACK TIPS ;930;465;Armytrix,DT22M,EXHAUST;488 GTB / SPIDER ARMYTRIX TITANIUM TWIN MATTE BLACK TIPS ;Armytrix,DT22M,EXHAUST;7;ArmytrixDT22M
Armytrix;Armytrix;DC46;488 GTB / SPIDER ARMYTRIX TWIN CARBON TIPS ;880;440;Armytrix,DC46,EXHAUST;488 GTB / SPIDER ARMYTRIX TWIN CARBON TIPS ;Armytrix,DC46,EXHAUST;7;ArmytrixDC46
Armytrix;Armytrix;FF488-C;488 PISTA / PISTA SPIDER ARMYTRIX TITANIUM EXHAUST SYSTEM W/NO TIPS;7380;3690;Armytrix,FF488-C,EXHAUST;488 PISTA / PISTA SPIDER ARMYTRIX TITANIUM EXHAUST SYSTEM W/NO TIPS;Armytrix,FF488-C,EXHAUST;7;ArmytrixFF488-C
Armytrix;Armytrix;FS488-DDC;489 PISTA / PISTA SPIDER ARMYTRIX  CERAMIC COATED HIGH-FLOW PERFORMANCE DE-CATTED DOWN-PIPE;2580;1290;Armytrix,FS488-DDC,EXHAUST;489 PISTA / PISTA SPIDER ARMYTRIX  CERAMIC COATED HIGH-FLOW PERFORMANCE DE-CATTED DOWN-PIPE;Armytrix,FS488-DDC,EXHAUST;7;ArmytrixFS488-DDC
