Tipo Doc.;N.º Doc.;Refª Cliente;Data;Cliente;Contribuinte;País;Zona geográfica;Vendedor;Método de Pagamento;Valor Pgto.;Comissão Pgto.;Cód. Artigo;Código EAN;Artigos;Qtd.;Uni.;Preço unitário sem IVA;Total Artigo;Total Ilíq.;Desc.;Total Liq.;Impostos;Desc. Financeiro;Total;Acumulado;Local de Descarga;Observações
Fatura-Recibo;2024BE/244;;03/06/2024;Andrea Karathanassis;BE999999990;França;;;;;;1K0121407A;;OEM Coolant Expansion Tank for S3 8P / TT 8J / Leon 2 / Golf 5 GTI / R32 and Golf 6 R / GTI;1;Uni.;9,77686;9,78;9,78;0;9,78;2,05;0;11,83;113,01;;
Fatura-Recibo;2024BE/244;;03/06/2024;Andrea Karathanassis;BE999999990;França;;;;;;Portes;;Custo de Portes;1;Uni.;6,61157;6,61;6,61;0;6,61;1,39;0;8;121,01;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fatura-Recibo;2024BE/245;;03/06/2024;Thirry Frederick;BE999999990;Bélgica;;;Transferência Bancária;114;---;;;;;;;;94,21;0;94,21;19,79;0;114;6637,53;Oorzaakveldpad 13;
Fatura-Recibo;2024BE/245;;03/06/2024;Thirry Frederick;BE999999990;França;;;;;;KCA485;;Hyundai I30N Whiteline Roll Control Centre Kit;1;Uni.;87,60331;87,6;87,6;0;87,6;18,4;0;106;106;;
Fatura-Recibo;2024BE/245;;03/06/2024;Thirry Frederick;BE999999990;França;;;;;;Portes;;Custo de Portes;1;Uni.;6,61157;6,61;6,61;0;6,61;1,39;0;8;114;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fatura-Recibo;2024BE/246;;03/06/2024;Victor Van Ginderen;BE999999990;Bélgica;;;Transferência Bancária;50,9;---;;;;;;;;42,07;0;42,07;8,83;0;50,9;6688,43;Doornveld 120 Z.3;
Fatura-Recibo;2024BE/246;;03/06/2024;Victor Van Ginderen;BE999999990;França;;;;;;D043-A001;;DaveFab Wind Deflector Brackets for Mazda MX5 NA;1;Uni.;32,14876;32,15;32,15;0;32,15;6,75;0;38,9;38,9;;
Fatura-Recibo;2024BE/246;;03/06/2024;Victor Van Ginderen;BE999999990;França;;;;;;Portes;;Custo de Portes;1;Uni.;9,91736;9,92;9,92;0;9,92;2,08;0;12;50,9;;
